aluminium,copper,lead,nickel,zink,tin
2176.5,8545.0,2144.0,21700,2527.0,27250
2147.0,8472.0,2139.5,21300,2462.5,27550
2166.0,8450.5,2128.0,20980,2482.0,27925
2178.0,8495.0,2143.0,21250,2500.0,27850
2143.0,8276.0,2110.0,20650,2448.0,27550
2153.0,8395.0,2119.0,20450,2500.0,27080
2161.5,8423.5,2122.0,20225,2477.0,26775
2127.0,8242.0,2118.0,20000,2415.5,25775
2096.0,8242.0,2088.0,19825,2357.0,24975
2085.5,8126.5,2099.0,19685,2313.0,24600
2089.0,8132.0,2123.0,19850,2282.0,24730
2131.0,8215.0,2144.0,19850,2312.0,25000
2096.0,8176.0,2154.0,19925,2261.0,25050
2068.5,8239.5,2168.0,20050,2270.5,24925
2121.5,8342.0,2195.0,20215,2336.0,25900
2129.0,8377.5,2190.0,20525,2328.5,25635
2119.5,8358.5,2214.0,20400,2363.0,25750
2124.0,8381.5,2178.0,20900,2375.5,25265
2116.5,8375.0,2175.0,20355,2420.0,24800
2140.5,8394.5,2221.0,20235,2425.5,24950
2165.5,8359.5,2213.5,20225,2412.5,25000
2184.0,8515.0,2306.0,20475,2457.0,25600
2149.5,8406.0,2238.5,20550,2455.0,25560
2136.5,8430.0,2274.0,20800,2456.0,26400
2158.0,8395.0,2300.0,20550,2435.5,26100
2135.0,8242.5,2287.0,20130,2428.5,25725
2132.5,8225.0,2285.0,19905,2406.0,25335
2154.0,8332.5,2314.0,20050,2437.5,25550
2153.0,8337.5,2288.0,19830,2474.0,25205
2156.5,8353.0,2260.0,19485,2453.5,25200
2192.5,8423.0,2279.0,20255,2551.0,25650
2155.5,8376.5,2281.0,19950,2532.5,25600
2165.0,8320.0,2266.0,19745,2493.0,25550
2174.5,8233.5,2236.0,19360,2476.5,25650
2202.0,8277.0,2237.5,19635,2511.5,25800
2166.5,8101.0,2204.0,18955,2475.0,25650
2199.5,8188.0,2216.0,19050,2532.5,25325
2182.5,8107.0,2240.0,18950,2504.0,26100
2195.0,8066.0,2222.5,18675,2508.0,25625
2196.0,8017.0,2185.5,18700,2464.0,25550
2232.0,8112.0,2181.0,18650,2559.5,25355
2307.5,8230.5,2209.0,18510,2640.5,24200
2286.5,8100.5,2197.0,18510,2602.0,23900
2257.0,7960.0,2141.0,18405,2511.5,24050
2231.0,7910.5,2150.5,18600,2502.0,24000
2195.5,7812.5,2141.5,18205,2455.0,24050
2208.0,7887.0,2207.0,18280,2472.5,23965
2193.0,8015.5,2176.5,18610,2474.5,24700
2199.0,7907.5,2127.0,18260,2437.0,24500
2179.0,7943.5,2132.0,18260,2440.5,24650
2180.5,7995.0,2104.0,18435,2445.5,24900
2176.0,7891.0,2067.0,18335,2424.0,25025
2161.5,7920.0,2095.0,18460,2434.5,24725
2148.5,7846.5,2085.0,18160,2377.0,24880
2176.5,7947.5,2132.0,18470,2431.0,25450
2150.5,7938.0,2117.0,18285,2408.0,25075
2152.0,7876.0,2129.0,18350,2415.5,24405
2144.5,7824.5,2171.0,18135,2404.0,24555
2146.5,7900.5,2157.0,17800,2416.5,24835
2188.5,7946.0,2134.0,18150,2458.0,24925
2202.5,7939.0,2131.0,17900,2432.0,24750
2170.5,7963.5,2141.0,18000,2445.5,24875
2252.0,8110.0,2154.5,18180,2463.5,24825
2235.0,8038.0,2110.5,17825,2432.5,24550
2230.5,8041.0,2097.0,17750,2480.0,23550
2218.0,8066.0,2100.0,17785,2513.5,23795
2219.5,8070.5,2164.0,17810,2494.0,24150
2254.0,8136.5,2166.5,17865,2559.5,24300
2241.0,8068.0,2166.0,17585,2538.0,24275
2258.5,8088.0,2201.0,17865,2604.5,24550
2228.0,8030.5,2181.5,17650,2592.0,24640
2205.5,8006.0,2190.0,17170,2584.0,24275
2220.5,8014.5,2176.0,17000,2538.0,24750
2194.0,8081.0,2159.5,17005,2539.0,24600
2205.0,8169.0,2226.5,17155,2647.0,25100
2182.5,8165.5,2268.5,16960,2573.0,25050
2165.0,8141.0,2281.0,16780,2569.0,25000
2192.0,8247.0,2285.0,16635,2563.0,24700
2201.5,8324.0,2265.5,16560,2537.5,24750
2194.5,8296.0,2238.5,16430,2500.0,24575
2183.0,8307.5,2203.5,16280,2522.0,24200
2179.0,8300.0,2189.0,15935,2544.5,24050
2177.0,8281.0,2154.5,15885,2548.5,23550
2164.5,8278.0,2128.0,16455,2530.0,22975
2178.0,8384.0,2118.0,16660,2508.0,23120
2157.5,8332.0,2112.0,16335,2478.0,22910
2147.5,8456.0,2099.0,16655,2465.5,23250
2148.5,8417.0,2088.0,16350,2471.0,23625
2121.5,8259.0,2038.0,16060,2421.0,23750
2117.5,8297.0,2007.0,16250,2432.0,24450
2099.0,8221.0,1998.0,16000,2411.5,24400
2111.0,8348.0,1995.0,16605,2409.0,24550
2082.5,8275.5,1985.0,16305,2374.5,24260
2090.5,8272.0,2044.0,16265,2437.0,24560
2083.0,8205.0,2011.5,16100,2417.0,24555
2137.0,8461.5,2034.5,16500,2507.0,25050
2196.0,8471.0,2055.5,16740,2524.0,25225
2213.0,8423.0,2052.0,16650,2549.5,24800
2215.5,8439.0,2021.5,16460,2556.5,24750
2192.0,8466.5,2045.0,16355,2561.5,24875
2180.0,8460.0,2046.5,16670,2553.5,24775
2234.5,8499.0,2040.0,16360,2576.0,25035
2293.5,8511.5,2046.0,16355,2605.5,25075
2313.5,8530.0,2054.0,16405,2620.0,25360
2335.5,8476.0,2031.0,16300,2640.5,25175
2336.5,8430.0,2033.0,16600,2607.0,25150
2255.5,8381.0,2025.0,16210,2573.0,25050
2235.5,8375.0,2012.0,16025,2531.0,24925
2215.5,8346.5,2024.0,15705,2514.0,24200
2205.5,8295.0,2030.0,15930,2486.0,24400
2200.0,8301.5,2033.0,16150,2503.0,24300
2204.0,8285.0,2050.5,15980,2491.0,24025
2203.0,8332.0,2095.0,16250,2508.0,24300
2175.0,8289.0,2058.0,16075,2480.0,24350
2153.0,8238.5,2078.0,16200,2535.0,24550
2158.5,8280.0,2086.0,15880,2518.5,24500
2142.0,8230.0,2033.0,15765,2487.0,25025
2130.5,8189.0,2030.0,15870,2440.5,25200
2122.0,8275.0,2077.0,15935,2459.0,25550
2110.0,8254.5,2087.0,15785,2438.5,25375
2145.0,8283.5,2162.0,16010,2496.0,26000
2207.5,8460.0,2175.5,16240,2564.5,26350
2188.5,8486.0,2169.0,16360,2595.0,26450
2212.0,8447.0,2149.0,16535,2582.0,26550
2214.0,8421.0,2180.0,16285,2566.0,26350
2226.5,8462.0,2165.0,16150,2546.0,26050
2232.0,8513.0,2173.0,16070,2551.5,26000
2212.5,8437.0,2162.0,15985,2478.0,25700
2209.5,8400.0,2145.5,16125,2463.0,25475
2183.5,8329.0,2132.0,15805,2419.0,24780
2184.5,8280.0,2119.0,15620,2417.0,25075
2195.5,8280.5,2119.0,15680,2401.0,25150
2214.5,8202.0,2099.0,15755,2374.0,25600
2180.5,8091.5,2050.0,15725,2322.0,25980
2188.0,8085.5,2053.0,15755,2295.0,26650
2204.0,8185.0,2017.0,15950,2297.0,27500
2194.0,8133.5,2023.0,16115,2285.5,27265
2205.0,8153.0,2057.0,16240,2321.5,27275
